"store_id","store_name","address","city","phone","manager_name","opening_date"
1,"Madina Cash & Carry","73 Umar Valleys, Multan","Multan","042-8940928","Attaf Zaahir","2022-10-13"
2,"ChenOne Store","63 Rohaan Mount, Bahawalpur","Bahawalpur","042-4582615","Taisir Jalil","2016-03-22"
3,"Metro Cash & Carry","91 Zaahir Neck, Gujranwala","Gujranwala","042-7644940","Tahmeed Umair","2022-05-11"
4,"Imtiaz Super Market","93 Qaasim Manors, Rahim Yar Khan","Rahim Yar Khan","042-1879879","Ejlaal Qadeer","2018-11-17"
5,"Chase Up","13 Esfandyar Square, Faisalabad","Faisalabad","042-5494172","Kaysan Saburah","2020-11-18"
6,"Hyperstar","73 Tahaw-wur Port, Peshawar","Peshawar","042-6011976","Owais Mad","2017-12-20"
7,"Naheed Supermarket","38 Ubaydullah Dale, Sukkur","Sukkur","042-7695547","Ghazzal Tahaw-wur","2023-09-30"
8,"D-Mart","52 Jalaal Port, Sheikhupura","Sheikhupura","042-7781121","Basim Kabeer","2017-09-22"
9,"Gul Ahmed Mart","15 Man Court, Multan","Multan","042-3252928","Lahiah Sabeeh","2024-06-23"
10,"Al-Fatah","68 Kashan Mall, Bahawalpur","Bahawalpur","042-6713604","Ubay Kabeer","2021-09-11"
11,"Jalal Sons","97 Ghayoor Fords, Faisalabad","Faisalabad","042-2314605","Jalees Aariz","2017-06-04"
12,"Hakimji Store","70 Ejlaal Fields, Dera Ghazi Khan","Dera Ghazi Khan","042-9014586","Ghazanfar Kaamil","2022-10-20"
13,"Royal Mart","34 Ejlaal Bypass, Rawalpindi","Rawalpindi","042-3169387","Yaqoot Saajid","2021-09-08"
14,"City Mart","24 Ayyubi Lodge, Lahore","Lahore","042-9860583","Omran Umaarah","2024-05-04"
15,"Super Savers","84 Talha Circles, Gujrat","Gujrat","042-7516238","Madani Umair","2022-04-15"
16,"Fresh Plus","47 Aamirah Estate, Sheikhupura","Sheikhupura","042-8421658","Nadeem Saad","2024-08-18"
17,"Qasim Ali Store","43 Eshan Ports, Gujranwala","Gujranwala","042-3100181","Gohar Radi","2023-08-19"
18,"Packages Mall","100 Kachela Pines, Sialkot","Sialkot","042-4401936","Naeem Baasim","2021-09-20"
19,"LuckyOne Mall","70 Jahdari Roads, Peshawar","Peshawar","042-7563645","Jahiz Basaam","2015-09-04"
